,epoch,fitness_estimate,crossover_used,pop_gen_used,im_size
0,0,84.6976376228,crossover_1,random_image_array_1,"(305,264)"
1,100,54.6884509208,crossover_1,random_image_array_1,"(305,264)"
2,200,47.952870187,crossover_1,random_image_array_1,"(305,264)"
3,300,45.8252081423,crossover_1,random_image_array_1,"(305,264)"
4,400,44.7048289714,crossover_1,random_image_array_1,"(305,264)"
5,500,43.7382569728,crossover_1,random_image_array_1,"(305,264)"
6,600,42.7510216982,crossover_1,random_image_array_1,"(305,264)"
7,700,41.5409394888,crossover_1,random_image_array_1,"(305,264)"
8,800,40.3082140287,crossover_1,random_image_array_1,"(305,264)"
9,900,40.0573138543,crossover_1,random_image_array_1,"(305,264)"
10,1000,39.4418351326,crossover_1,random_image_array_1,"(305,264)"
11,1100,38.7334461352,crossover_1,random_image_array_1,"(305,264)"
12,1200,38.0358002038,crossover_1,random_image_array_1,"(305,264)"
13,1300,37.5025172612,crossover_1,random_image_array_1,"(305,264)"
14,1400,37.173863267,crossover_1,random_image_array_1,"(305,264)"
15,1500,36.7248328314,crossover_1,random_image_array_1,"(305,264)"
16,1600,36.2675180538,crossover_1,random_image_array_1,"(305,264)"
17,1700,36.152345128,crossover_1,random_image_array_1,"(305,264)"
18,1800,35.74140532,crossover_1,random_image_array_1,"(305,264)"
19,1900,35.6726935041,crossover_1,random_image_array_1,"(305,264)"
20,2000,35.5692580137,crossover_1,random_image_array_1,"(305,264)"
21,2100,35.5237652315,crossover_1,random_image_array_1,"(305,264)"
22,2200,35.3714017356,crossover_1,random_image_array_1,"(305,264)"
23,2300,35.2786546319,crossover_1,random_image_array_1,"(305,264)"
24,2400,35.0650249345,crossover_1,random_image_array_1,"(305,264)"
25,2500,34.8692648918,crossover_1,random_image_array_1,"(305,264)"
26,2600,34.7137848137,crossover_1,random_image_array_1,"(305,264)"
27,2700,34.5620617594,crossover_1,random_image_array_1,"(305,264)"
28,2800,34.5234982532,crossover_1,random_image_array_1,"(305,264)"
29,2900,34.5156391997,crossover_1,random_image_array_1,"(305,264)"
30,3000,34.4095071531,crossover_1,random_image_array_1,"(305,264)"
31,3100,34.231888564,crossover_1,random_image_array_1,"(305,264)"
32,3200,34.0601303333,crossover_1,random_image_array_1,"(305,264)"
33,3300,34.0456747118,crossover_1,random_image_array_1,"(305,264)"
34,3400,34.0235227951,crossover_1,random_image_array_1,"(305,264)"
35,3500,34.0095651151,crossover_1,random_image_array_1,"(305,264)"
36,3600,33.9186221598,crossover_1,random_image_array_1,"(305,264)"
37,3700,33.847444453,crossover_1,random_image_array_1,"(305,264)"
38,3800,33.8237468728,crossover_1,random_image_array_1,"(305,264)"
39,3900,33.7544886936,crossover_1,random_image_array_1,"(305,264)"
40,4000,33.7104811413,crossover_1,random_image_array_1,"(305,264)"
41,4100,33.6717943773,crossover_1,random_image_array_1,"(305,264)"
42,4200,33.6459016476,crossover_1,random_image_array_1,"(305,264)"
43,4300,33.6040929094,crossover_1,random_image_array_1,"(305,264)"
44,4400,33.5755416196,crossover_1,random_image_array_1,"(305,264)"
45,4500,33.5755416196,crossover_1,random_image_array_1,"(305,264)"
46,4600,33.542437066,crossover_1,random_image_array_1,"(305,264)"
47,4700,33.4891252124,crossover_1,random_image_array_1,"(305,264)"
48,4800,33.3860289342,crossover_1,random_image_array_1,"(305,264)"
49,4900,33.3708846814,crossover_1,random_image_array_1,"(305,264)"
50,5000,33.3598142291,crossover_1,random_image_array_1,"(305,264)"
51,5100,33.2808466369,crossover_1,random_image_array_1,"(305,264)"
52,5200,33.1843374726,crossover_1,random_image_array_1,"(305,264)"
53,5300,33.1316929428,crossover_1,random_image_array_1,"(305,264)"
54,5400,33.1118032472,crossover_1,random_image_array_1,"(305,264)"
55,5500,33.0869504332,crossover_1,random_image_array_1,"(305,264)"
56,5600,33.0123744457,crossover_1,random_image_array_1,"(305,264)"
57,5700,33.0084326951,crossover_1,random_image_array_1,"(305,264)"
58,5800,32.9784401313,crossover_1,random_image_array_1,"(305,264)"
59,5900,32.7620752241,crossover_1,random_image_array_1,"(305,264)"
60,6000,32.7046082063,crossover_1,random_image_array_1,"(305,264)"
61,6100,32.5262520666,crossover_1,random_image_array_1,"(305,264)"
62,6200,32.4519003026,crossover_1,random_image_array_1,"(305,264)"
63,6300,32.4164334347,crossover_1,random_image_array_1,"(305,264)"
64,6400,32.4093890676,crossover_1,random_image_array_1,"(305,264)"
65,6500,32.3982068319,crossover_1,random_image_array_1,"(305,264)"
66,6600,32.3742779083,crossover_1,random_image_array_1,"(305,264)"
67,6700,32.3675416228,crossover_1,random_image_array_1,"(305,264)"
68,6800,32.2987965966,crossover_1,random_image_array_1,"(305,264)"
69,6900,32.2685928142,crossover_1,random_image_array_1,"(305,264)"
70,7000,32.2271330971,crossover_1,random_image_array_1,"(305,264)"
71,7100,32.2228814544,crossover_1,random_image_array_1,"(305,264)"
72,7200,32.2108449993,crossover_1,random_image_array_1,"(305,264)"
73,7300,32.1323622167,crossover_1,random_image_array_1,"(305,264)"
74,7400,32.1313462735,crossover_1,random_image_array_1,"(305,264)"
75,7500,32.1256335514,crossover_1,random_image_array_1,"(305,264)"
76,7600,32.048067659,crossover_1,random_image_array_1,"(305,264)"
77,7700,32.0421647804,crossover_1,random_image_array_1,"(305,264)"
78,7800,32.040210613,crossover_1,random_image_array_1,"(305,264)"
79,7900,32.0392549974,crossover_1,random_image_array_1,"(305,264)"
